Receipt_ID,Total,Date,Expense_Type,Spec Type,
461,7.5,1/12/2014,Miscellaneous,N/A,
467,11.1,8/1/2009,Taxi,N/A,
477,8.15,3/4/2009,Groceries,N/A,
478,29.1,9/5/2011,Meal,Dinner,
479,8.56,6/19/2012,Taxi,N/A,
485,9.99,9/10/2014,Maintenance,N/A,
487,10,5/10/2011,Miscellaneous,N/A,
488,6.65,10/22/2012,Meal,Lunch,
501,2.89,12/9/2013,Airfare,N/A,
504,5.35,4/23/2008,Meal,Lunch,
505,12,10/3/2013,Meal,Lunch,
508,2.96,8/5/2008,Fuel,N/A,
509,29,7/8/2014,Entertainment,N/A,
510,95.5,1/4/2015,Meal,Lunch,
530,13.52,5/18/2013,Meal,Dinner,
531,2.85,9/1/2008,Fuel,N/A,
539,27.3,5/13/2012,Meal,Lunch,
540,126.74,7/13/2012,Meal,Dinner,
551,33.76,1/24/2015,Meal,Lunch,
575,71.68,8/12/2008,Meal,Breakfast,
582,400,6/10/2012,Online Fees,N/A,
587,25.01,2/10/2013,Meal,Dinner,
589,27.75,8/21/2015,Meal,Lunch,
590,43.62,5/18/2013,Fuel,N/A,
600,2.92,9/8/2008,Fuel,N/A,
